,Название,Регулярная цена,Промо цена,Ссылка,id,Бренд
16,"Вода Borjomi природная минеральная газированная, 750мл",134,None,https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-6h075-l,457137,BORJOMI
17,"Вода Архыз Vita негазированная, 5л",119,None,https://online.metro-cc.ru/products/arhyz-negazirovannaya-5-l,222222,АРХЫЗ
18,"Вода Borjomi природная минеральная газированная стекло, 330мл",119,74.90,https://online.metro-cc.ru/products/borjomi-gazirovannaya-steklo-033-l,457128,BORJOMI
19,"Вода Aqua Minerale питьевая негазированная, 500мл",49.90,None,https://online.metro-cc.ru/products/art_31187,31187,AQUA MINERALE
20,"Вода питьевая Сенежская негазированная, 1.5л",38.50,None,https://online.metro-cc.ru/products/senezhskaya-bez-gaza-15l,474022,СЕНЕЖСКАЯ
21,"Вода Ессентуки №4 минеральная лечебная газированная, 1.5л",105,None,https://online.metro-cc.ru/products/essentuki-4-15l,451807,ЕССЕНТУКИ
22,"Вода Святой Источник газированная, 1.5л",54.90,None,https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-15l-473977,473977,СВЯТОЙ ИСТОЧНИК
23,"Вода Святой Источник Светлячок для детей негазированная 0+, 5л",141,109,https://online.metro-cc.ru/products/voda-dlya-detej-svyatoj-istochnik-svetlyachok-pet-5-l,591747,СВЯТОЙ ИСТОЧНИК
24,"Вода Нарзан минеральная газированная, 500мл",69.90,None,https://online.metro-cc.ru/products/art_461364,461364,НАРЗАН
25,"Вода Святой Источник газированная, 500мл",40,None,https://online.metro-cc.ru/products/svyatoj-istochnik-gazirovannaya-05-l-457299,457299,СВЯТОЙ ИСТОЧНИК
26,"aro Вода минеральная питьевая негазированная, 500мл",18.89,None,https://online.metro-cc.ru/products/aro-mineralnaya-negazirovannaya-05-l,459541,ARO
27,"Вода San Benedetto минеральная газированная, 1.5л",247,209,https://online.metro-cc.ru/products/sanbenedetto-stolovaya-pityevaya-gazirovannaya-15l,456728,SAN BENEDETTO
28,"aro Вода питьевая негазированная, 19л",389,None,https://online.metro-cc.ru/products/aro-pet-19l,614702,ARO
29,"Вода Legend of Baikal негазированная, 750мл",139,None,https://online.metro-cc.ru/products/075-l-legend-of-baikal-st-n-g-125700,125700,LEGEND OF BAIKAL
30,"Вода Legend of Baikal питьевая негазированная, 500мл",125,None,https://online.metro-cc.ru/products/bez-gaza-legendy-bajkala-steklo-05-l-89093,89093,LEGEND OF BAIKAL
31,"Вода Aqua Minerale питьевая газированная, 2л",82.99,74.90,https://online.metro-cc.ru/products/aqua-minerale-gazirovannaya-2l,451326,AQUA MINERALE
32,"Вода Aqua Minerale питьевая негазированная, 2л",82.99,74.90,https://online.metro-cc.ru/products/art_451327,451327,AQUA MINERALE
33,"Вода Сенежская питьевая газированная, 500мл",22,16.90,https://online.metro-cc.ru/products/senezhskaya-gazirovannaya-05-l,474023,СЕНЕЖСКАЯ
34,"Вода BonaAqua негазированная, 500мл",52.90,49.90,https://online.metro-cc.ru/products/05l-voda-bona-aqua-bg-pet-200957,200957,BONAAQUA
35,"Вода Черноголовка негазированная, 500мл",26.99,21.90,https://online.metro-cc.ru/products/art_40828,40828,ЧЕРНОГОЛОВКА
36,"Вода BonaAqua газированная, 1л",66.90,53.90,https://online.metro-cc.ru/products/1l-voda-bona-aqua-gaz-pet-200971,200971,BONAAQUA
37,"Вода Borjomi природная минеральная газированная стекло, 330мл x 12 шт",1 198.80,898.80,https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-033-l-h-12sht,457129,BORJOMI
38,"Вода Mever природная минеральная негазированная, 500мл",75.90,None,https://online.metro-cc.ru/products/negazirovannaya-v-stekle-mever-05-l,618397,MEVER
39,"Вода Sairme родниковая негазированная, 500мл",119,99.90,https://online.metro-cc.ru/products/sairme-rodnikovaya-negazirovannaya-05-l,511781,SAIRME
40,"Вода питьевая Сенежская газированная, 1.5л x 6 шт",38.50,None,https://online.metro-cc.ru/products/senezhskaya-gazirovannaya-15l-474021,474021,СЕНЕЖСКАЯ
41,"Вода Легенда гор Архыз газированная, 1.5л",60.90,None,https://online.metro-cc.ru/products/gazirovannaya-legenda-gor-arhyz-15l,91729,ЛЕГЕНДА ГОР АРХЫЗ
42,"Вода Legend of Baikal газированная, 750мл",139,None,https://online.metro-cc.ru/products/075-l-legend-of-baikal-st-gaz-125693,125693,LEGEND OF BAIKAL
43,"Вода Ессентуки №17 минеральная лечебная газированная, 450мл",74.90,None,https://online.metro-cc.ru/products/essentuki-17-steklo-045-l,76833,ЕССЕНТУКИ
44,"Вода Аштау минеральная газированная, 500мл",67.90,49.90,https://online.metro-cc.ru/products/mineralnaya-ash-tau-gazirovannaya-05-l,654446,АШТАУ
45,"Вода Ессентуки №4 минеральная лечебная газированная, 450мл",74.90,None,https://online.metro-cc.ru/products/essentuki-4-steklo-045-l,76830,ЕССЕНТУКИ
46,"Вода BonaAqua негазированная, 1л",66.90,53.90,https://online.metro-cc.ru/products/1l-voda-bona-aqua-bg-pet,200961,BONAAQUA
47,"aro Вода питьевая негазированная, 5л",63.90,None,https://online.metro-cc.ru/products/aro-negazirovannaya-5l,87367,ARO
48,"Вода San Bernardo Frizzante Premium природная газированная, 500мл",149,92.90,https://online.metro-cc.ru/products/05l-voda-san-bernardo-frizzante-premium-pet-138356,138356,SAN BERNARDO
49,"Вода Шишкин лес питьевая негазированная, 1л",50.90,None,https://online.metro-cc.ru/products/art_227350,227350,ШИШКИН ЛЕС
50,"Вода Borjomi природная минеральная газированная, 500мл x 12 шт",1 138.80,None,https://online.metro-cc.ru/products/borjomi-lechebno-stolovaya-gazirovannaya-05-l-h-12sht,457132,BORJOMI
51,"Вода BonaAqua газированная, 330мл",78.90,62.90,https://online.metro-cc.ru/products/033l-voda-bona-aqua-gaz-st-200953,200953,BONAAQUA
52,"Вода Калинов Родник газированная, 1.5л",41.99,32.90,https://online.metro-cc.ru/products/kalinov-rodnik-gazirovannaya-v-upakovke-6h15l,480777,КАЛИНОВ РОДНИК
53,"Вода Baikal Pearl негазированная, 530мл",139,116,https://online.metro-cc.ru/products/zhemchuzhina-bajkala-negazirovannaya-530ml,135140,BAIKAL PEARL
54,"Вода BonaAqua газированная, 500мл",52.90,49.90,https://online.metro-cc.ru/products/05l-voda-bona-aqua-gaz-pet-200959,200959,BONAAQUA
55,"Вода Aqua Minerale питьевая негазированная, 1л",61.90,54.90,https://online.metro-cc.ru/products/bez-gaza-aqua-1-l,601633,AQUA MINERALE
